Split,Filename_Removed,Reason
val,NZ_CP033773.1.cleaned.fna,Mash_dist=0.0432 (Train vs Val)
val,NZ_CP185346.1.cleaned.fna,Mash_dist=0.0080 (Train vs Val)
val,NC_013366.1.cleaned.fna,Mash_dist=0.0495 (Train vs Val)
val,NZ_CP130162.1.cleaned.fna,Mash_dist=0.0248 (Train vs Val)
val,NZ_MK295829.1.cleaned.fna,Mash_dist=0.0468 (Train vs Val)
val,NZ_NBOK01000081.1.cleaned.fna,Mash_dist=0.0493 (Train vs Val)
val,NZ_CM014728.1.cleaned.fna,Mash_dist=0.0229 (Train vs Val)
val,NZ_CP001975.2.cleaned.fna,Mash_dist=0.0002 (Train vs Val)
val,NZ_CP010004.1.cleaned.fna,Mash_dist=0.0011 (Train vs Val)
val,NZ_CP075308.1.cleaned.fna,Mash_dist=0.0174 (Train vs Val)
val,NZ_CP026219.1.cleaned.fna,Mash_dist=0.0147 (Train vs Val)
val,NZ_CP124703.1.cleaned.fna,Mash_dist=0.0180 (Train vs Val)
val,NZ_KR870312.1.cleaned.fna,Mash_dist=0.0301 (Train vs Val)
val,NZ_CP117260.1.cleaned.fna,Mash_dist=0.0289 (Train vs Val)
val,NZ_CP023824.1.cleaned.fna,Mash_dist=0.0402 (Train vs Val)
val,NZ_CP076014.1.cleaned.fna,Mash_dist=0.0022 (Train vs Val)
val,NZ_LT977075.1.cleaned.fna,Mash_dist=0.0002 (Train vs Val)
val,NZ_CP062712.1.cleaned.fna,Mash_dist=0.0479 (Train vs Val)
val,NZ_MW363912.1.cleaned.fna,Mash_dist=0.0447 (Train vs Val)
val,NZ_CP086781.1.cleaned.fna,Mash_dist=0.0000 (Train vs Val)
val,NZ_CP080650.1.cleaned.fna,Mash_dist=0.0074 (Train vs Val)
val,NZ_CP035359.1.cleaned.fna,Mash_dist=0.0383 (Train vs Val)
val,NZ_AFOY02000029.1.cleaned.fna,Mash_dist=0.0100 (Train vs Val)
val,NZ_CP124021.1.cleaned.fna,Mash_dist=0.0035 (Train vs Val)
val,NZ_CP179365.1.cleaned.fna,Mash_dist=0.0010 (Train vs Val)
val,NC_012693.1.cleaned.fna,Mash_dist=0.0175 (Train vs Val)
val,NZ_CP192645.1.cleaned.fna,Mash_dist=0.0473 (Train vs Val)
val,NZ_CP056488.1.cleaned.fna,Mash_dist=0.0201 (Train vs Val)
val,NZ_CP098160.1.cleaned.fna,Mash_dist=0.0390 (Train vs Val)
val,NZ_OW970490.1.cleaned.fna,Mash_dist=0.0435 (Train vs Val)
val,NZ_CP123241.1.cleaned.fna,Mash_dist=0.0479 (Train vs Val)
val,NZ_CP035367.1.cleaned.fna,Mash_dist=0.0479 (Train vs Val)
val,NZ_CP183151.1.cleaned.fna,Mash_dist=0.0441 (Train vs Val)
val,NZ_CP109911.1.cleaned.fna,Mash_dist=0.0001 (Train vs Val)
val,NZ_CP055100.1.cleaned.fna,Mash_dist=0.0308 (Train vs Val)
val,NZ_CP176965.1.cleaned.fna,Mash_dist=0.0441 (Train vs Val)
val,NZ_AP022111.1.cleaned.fna,Mash_dist=0.0446 (Train vs Val)
val,NZ_AP027751.1.cleaned.fna,Mash_dist=0.0423 (Train vs Val)
val,NZ_CP192637.1.cleaned.fna,Mash_dist=0.0254 (Train vs Val)
val,NZ_CP106851.1.cleaned.fna,Mash_dist=0.0003 (Train vs Val)
val,NZ_PV023131.1.cleaned.fna,Mash_dist=0.0403 (Train vs Val)
val,NZ_PITN01000066.1.cleaned.fna,Mash_dist=0.0306 (Train vs Val)
val,NZ_PGEH01000393.1.cleaned.fna,Mash_dist=0.0352 (Train vs Val)
val,NZ_CP117623.1.cleaned.fna,Mash_dist=0.0307 (Train vs Val)
val,NC_017428.1.cleaned.fna,Mash_dist=0.0424 (Train vs Val)
val,NZ_RRSW01000158.1.cleaned.fna,Mash_dist=0.0060 (Train vs Val)
val,NZ_JAUAMN010000007.1.cleaned.fna,Mash_dist=0.0086 (Train vs Val)
val,NZ_CP025492.2.cleaned.fna,Mash_dist=0.0000 (Train vs Val)
val,NZ_PITN01000076.1.cleaned.fna,Mash_dist=0.0357 (Train vs Val)
val,NZ_CP053775.1.cleaned.fna,Mash_dist=0.0003 (Train vs Val)
val,NZ_CP183342.1.cleaned.fna,Mash_dist=0.0001 (Train vs Val)
val,NZ_CP039043.1.cleaned.fna,Mash_dist=0.0269 (Train vs Val)
val,NZ_JAGFUR010000002.1.cleaned.fna,Mash_dist=0.0371 (Train vs Val)
val,NZ_CP059296.1.cleaned.fna,Mash_dist=0.0441 (Train vs Val)
val,NZ_PP320280.1.cleaned.fna,Mash_dist=0.0002 (Train vs Val)
val,NZ_CP143408.1.cleaned.fna,Mash_dist=0.0149 (Train vs Val)
val,NZ_CP089446.1.cleaned.fna,Mash_dist=0.0367 (Train vs Val)
val,NZ_AP018363.1.cleaned.fna,Mash_dist=0.0238 (Train vs Val)
val,NZ_OX030735.1.cleaned.fna,Mash_dist=0.0004 (Train vs Val)
val,NZ_CP074844.1.cleaned.fna,Mash_dist=0.0005 (Train vs Val)
val,NZ_AP024330.1.cleaned.fna,Mash_dist=0.0167 (Train vs Val)
val,NZ_CP072560.1.cleaned.fna,Mash_dist=0.0028 (Train vs Val)
val,NZ_CP124152.1.cleaned.fna,Mash_dist=0.0414 (Train vs Val)
val,NZ_CP140888.1.cleaned.fna,Mash_dist=0.0016 (Train vs Val)
val,NZ_CP129009.1.cleaned.fna,Mash_dist=0.0344 (Train vs Val)
val,NZ_CP092738.1.cleaned.fna,Mash_dist=0.0203 (Train vs Val)
val,NZ_LLBP01000052.1.cleaned.fna,Mash_dist=0.0493 (Train vs Val)
val,NZ_CP072806.1.cleaned.fna,Mash_dist=0.0406 (Train vs Val)
val,NZ_JACEFL010000068.1.cleaned.fna,Mash_dist=0.0409 (Train vs Val)
val,NZ_CP056345.1.cleaned.fna,Mash_dist=0.0299 (Train vs Val)
val,NZ_CP074780.1.cleaned.fna,Mash_dist=0.0116 (Train vs Val)
val,NZ_CP083578.1.cleaned.fna,Mash_dist=0.0236 (Train vs Val)
val,NC_021727.1.cleaned.fna,Mash_dist=0.0020 (Train vs Val)
val,NZ_LT703510.1.cleaned.fna,Mash_dist=0.0002 (Train vs Val)
val,NZ_CP129278.1.cleaned.fna,Mash_dist=0.0460 (Train vs Val)
val,NZ_JARDAH010000028.1.cleaned.fna,Mash_dist=0.0139 (Train vs Val)
val,NZ_CP159111.1.cleaned.fna,Mash_dist=0.0479 (Train vs Val)
val,NZ_CP024971.1.cleaned.fna,Mash_dist=0.0001 (Train vs Val)
val,NZ_MK510953.1.cleaned.fna,Mash_dist=0.0325 (Train vs Val)
val,NZ_CP124048.1.cleaned.fna,Mash_dist=0.0229 (Train vs Val)
val,NZ_MG299146.1.cleaned.fna,Mash_dist=0.0172 (Train vs Val)
val,NZ_CP103662.1.cleaned.fna,Mash_dist=0.0356 (Train vs Val)
val,NZ_KY436025.1.cleaned.fna,Mash_dist=0.0021 (Train vs Val)
val,NZ_RROS01000138.1.cleaned.fna,Mash_dist=0.0382 (Train vs Val)
val,NZ_CP148952.1.cleaned.fna,Mash_dist=0.0454 (Train vs Val)
val,NZ_CP020935.1.cleaned.fna,Mash_dist=0.0010 (Train vs Val)
val,NZ_CP134093.1.cleaned.fna,Mash_dist=0.0388 (Train vs Val)
val,NZ_LAUH01000242.1.cleaned.fna,Mash_dist=0.0294 (Train vs Val)
val,NZ_CP143278.1.cleaned.fna,Mash_dist=0.0002 (Train vs Val)
val,NZ_CP082210.1.cleaned.fna,Mash_dist=0.0094 (Train vs Val)
val,NZ_QRAH01000099.1.cleaned.fna,Mash_dist=0.0191 (Train vs Val)
val,NZ_CP014175.1.cleaned.fna,Mash_dist=0.0000 (Train vs Val)
val,NZ_CP084815.1.cleaned.fna,Mash_dist=0.0134 (Train vs Val)
val,NZ_CP157424.1.cleaned.fna,Mash_dist=0.0001 (Train vs Val)
val,NZ_CP186467.1.cleaned.fna,Mash_dist=0.0192 (Train vs Val)
val,NZ_JAQFLN010000091.1.cleaned.fna,Mash_dist=0.0270 (Train vs Val)
val,NZ_CP122465.1.cleaned.fna,Mash_dist=0.0035 (Train vs Val)
val,NZ_SIOU01000004.1.cleaned.fna,Mash_dist=0.0264 (Train vs Val)
val,NZ_CP162306.1.cleaned.fna,Mash_dist=0.0489 (Train vs Val)
val,NZ_PP746489.1.cleaned.fna,Mash_dist=0.0006 (Train vs Val)
val,NZ_LHYT01000109.1.cleaned.fna,Mash_dist=0.0338 (Train vs Val)
val,NZ_CP083868.1.cleaned.fna,Mash_dist=0.0042 (Train vs Val)
val,NZ_CP063291.1.cleaned.fna,Mash_dist=0.0001 (Train vs Val)
val,NZ_KU644674.1.cleaned.fna,Mash_dist=0.0230 (Train vs Val)
val,NZ_CP180654.1.cleaned.fna,Mash_dist=0.0140 (Train vs Val)
val,NZ_RRNI01000134.1.cleaned.fna,Mash_dist=0.0477 (Train vs Val)
val,NZ_CP104073.1.cleaned.fna,Mash_dist=0.0450 (Train vs Val)
val,NZ_JBHFKN010000004.1.cleaned.fna,Mash_dist=0.0172 (Train vs Val)
val,NZ_CP064230.1.cleaned.fna,Mash_dist=0.0438 (Train vs Val)
val,NZ_JALECI010000014.1.cleaned.fna,Mash_dist=0.0463 (Train vs Val)
val,NZ_JBANDT010000010.1.cleaned.fna,Mash_dist=0.0126 (Train vs Val)
val,NZ_CP073185.1.cleaned.fna,Mash_dist=0.0055 (Train vs Val)
val,NZ_CP131733.1.cleaned.fna,Mash_dist=0.0473 (Train vs Val)
val,NT_187137.1.cleaned.fna,Mash_dist=0.0149 (Train vs Val)
val,NZ_CP042579.1.cleaned.fna,Mash_dist=0.0088 (Train vs Val)
val,NZ_MN891682.1.cleaned.fna,Mash_dist=0.0455 (Train vs Val)
val,NZ_CP054607.1.cleaned.fna,Mash_dist=0.0009 (Train vs Val)
val,NZ_JAZICG010000088.1.cleaned.fna,Mash_dist=0.0181 (Train vs Val)
val,NZ_CP162508.1.cleaned.fna,Mash_dist=0.0395 (Train vs Val)
val,NZ_AWFJ01000172.1.cleaned.fna,Mash_dist=0.0132 (Train vs Val)
val,NZ_CP137769.1.cleaned.fna,Mash_dist=0.0475 (Train vs Val)
val,NC_004981.2.cleaned.fna,Mash_dist=0.0026 (Train vs Val)
val,NZ_RRSZ01000108.1.cleaned.fna,Mash_dist=0.0457 (Train vs Val)
val,NZ_CP175631.1.cleaned.fna,Mash_dist=0.0329 (Train vs Val)
val,NZ_CP011290.1.cleaned.fna,Mash_dist=0.0139 (Train vs Val)
val,NZ_PV023043.1.cleaned.fna,Mash_dist=0.0190 (Train vs Val)
val,NZ_MUMX01000108.1.cleaned.fna,Mash_dist=0.0498 (Train vs Val)
val,NZ_CP166984.1.cleaned.fna,Mash_dist=0.0489 (Train vs Val)
val,NZ_CP045510.1.cleaned.fna,Mash_dist=0.0369 (Train vs Val)
val,NZ_CP159313.1.cleaned.fna,Mash_dist=0.0203 (Train vs Val)
val,NZ_CP150967.1.cleaned.fna,Mash_dist=0.0001 (Train vs Val)
val,NZ_CP074014.1.cleaned.fna,Mash_dist=0.0374 (Train vs Val)
val,NZ_LKZK01000068.1.cleaned.fna,Mash_dist=0.0222 (Train vs Val)
val,NZ_CP058868.1.cleaned.fna,Mash_dist=0.0484 (Train vs Val)
val,NZ_CP116952.1.cleaned.fna,Mash_dist=0.0340 (Train vs Val)
val,NZ_RRKN01000138.1.cleaned.fna,Mash_dist=0.0450 (Train vs Val)
val,NZ_JBDYJQ010000089.1.cleaned.fna,Mash_dist=0.0128 (Train vs Val)
val,NZ_JBDYGO010000020.1.cleaned.fna,Mash_dist=0.0297 (Train vs Val)
val,NZ_KY657476.1.cleaned.fna,Mash_dist=0.0168 (Train vs Val)
val,NZ_JAAEVM010000044.1.cleaned.fna,Mash_dist=0.0186 (Train vs Val)
val,NZ_CP046649.1.cleaned.fna,Mash_dist=0.0324 (Train vs Val)
val,NZ_CP092679.1.cleaned.fna,Mash_dist=0.0000 (Train vs Val)
val,NZ_VKNI01000099.1.cleaned.fna,Mash_dist=0.0384 (Train vs Val)
val,NZ_MK630213.1.cleaned.fna,Mash_dist=0.0338 (Train vs Val)
val,NZ_CP137416.1.cleaned.fna,Mash_dist=0.0019 (Train vs Val)
val,NG_076848.1.cleaned.fna,Mash_dist=0.0341 (Train vs Val)
val,NZ_OZ111361.1.cleaned.fna,Mash_dist=0.0025 (Train vs Val)
val,NZ_PVLY01000041.1.cleaned.fna,Mash_dist=0.0101 (Train vs Val)
val,NZ_SIQH01000003.1.cleaned.fna,Mash_dist=0.0332 (Train vs Val)
val,NZ_LKXD01000100.1.cleaned.fna,Mash_dist=0.0495 (Train vs Val)
val,NZ_CP173447.1.cleaned.fna,Mash_dist=0.0306 (Train vs Val)
val,NZ_CP145693.1.cleaned.fna,Mash_dist=0.0025 (Train vs Val)
val,NZ_CP077508.1.cleaned.fna,Mash_dist=0.0399 (Train vs Val)
val,NZ_CP100075.1.cleaned.fna,Mash_dist=0.0002 (Train vs Val)
val,NZ_CP035324.1.cleaned.fna,Mash_dist=0.0224 (Train vs Val)
val,NZ_OV754002.1.cleaned.fna,Mash_dist=0.0479 (Train vs Val)
val,NZ_CM017026.1.cleaned.fna,Mash_dist=0.0394 (Train vs Val)
val,NZ_CP059727.1.cleaned.fna,Mash_dist=0.0142 (Train vs Val)
val,NZ_CP107130.1.cleaned.fna,Mash_dist=0.0003 (Train vs Val)
val,NZ_OZ186733.1.cleaned.fna,Mash_dist=0.0000 (Train vs Val)
val,NZ_LIYT01000088.1.cleaned.fna,Mash_dist=0.0003 (Train vs Val)
val,NZ_OU015714.1.cleaned.fna,Mash_dist=0.0472 (Train vs Val)
val,NZ_CP028479.1.cleaned.fna,Mash_dist=0.0473 (Train vs Val)
val,NZ_CP010646.1.cleaned.fna,Mash_dist=0.0344 (Train vs Val)
val,NZ_CP165740.1.cleaned.fna,Mash_dist=0.0330 (Train vs Val)
val,NZ_CP137087.1.cleaned.fna,Mash_dist=0.0498 (Train vs Val)
val,NZ_CP141906.1.cleaned.fna,Mash_dist=0.0163 (Train vs Val)
val,NZ_MN101851.1.cleaned.fna,Mash_dist=0.0216 (Train vs Val)
val,NZ_MT771291.1.cleaned.fna,Mash_dist=0.0417 (Train vs Val)
val,NZ_CP018718.1.cleaned.fna,Mash_dist=0.0470 (Train vs Val)
val,NZ_CP084708.1.cleaned.fna,Mash_dist=0.0108 (Train vs Val)
val,NZ_CP145915.1.cleaned.fna,Mash_dist=0.0460 (Train vs Val)
val,NZ_CP024403.1.cleaned.fna,Mash_dist=0.0187 (Train vs Val)
val,NZ_CP142073.1.cleaned.fna,Mash_dist=0.0322 (Train vs Val)
val,NZ_JAEQMI010000015.1.cleaned.fna,Mash_dist=0.0449 (Train vs Val)
val,NZ_CP080240.1.cleaned.fna,Mash_dist=0.0477 (Train vs Val)
val,NZ_CP114658.1.cleaned.fna,Mash_dist=0.0001 (Train vs Val)
val,NC_019381.1.cleaned.fna,Mash_dist=0.0178 (Train vs Val)
val,NZ_MZ359669.1.cleaned.fna,Mash_dist=0.0301 (Train vs Val)
val,NC_008594.1.cleaned.fna,Mash_dist=0.0011 (Train vs Val)
val,NZ_CP184720.1.cleaned.fna,Mash_dist=0.0002 (Train vs Val)
val,NZ_JAQFLY010000135.1.cleaned.fna,Mash_dist=0.0083 (Train vs Val)
val,NZ_CP039709.1.cleaned.fna,Mash_dist=0.0345 (Train vs Val)
val,NZ_CP171568.1.cleaned.fna,Mash_dist=0.0223 (Train vs Val)
val,NZ_CP053975.1.cleaned.fna,Mash_dist=0.0006 (Train vs Val)
val,NZ_CP029755.1.cleaned.fna,Mash_dist=0.0382 (Train vs Val)
val,NZ_CP078510.1.cleaned.fna,Mash_dist=0.0362 (Train vs Val)
val,NZ_LFJX01000048.1.cleaned.fna,Mash_dist=0.0229 (Train vs Val)
val,NZ_CP063155.1.cleaned.fna,Mash_dist=0.0207 (Train vs Val)
val,NZ_JAUANB010000027.1.cleaned.fna,Mash_dist=0.0421 (Train vs Val)
val,NZ_RRHW01000157.1.cleaned.fna,Mash_dist=0.0104 (Train vs Val)
val,NZ_CP082960.1.cleaned.fna,Mash_dist=0.0005 (Train vs Val)
val,NZ_CP039862.1.cleaned.fna,Mash_dist=0.0237 (Train vs Val)
val,NZ_CP060032.1.cleaned.fna,Mash_dist=0.0006 (Train vs Val)
val,NZ_CP160406.1.cleaned.fna,Mash_dist=0.0376 (Train vs Val)
val,NZ_CP076499.1.cleaned.fna,Mash_dist=0.0246 (Train vs Val)
val,NZ_CP082769.1.cleaned.fna,Mash_dist=0.0004 (Train vs Val)
val,NZ_CP021826.1.cleaned.fna,Mash_dist=0.0071 (Train vs Val)
val,NZ_CP038659.1.cleaned.fna,Mash_dist=0.0201 (Train vs Val)
val,NZ_CP081475.1.cleaned.fna,Mash_dist=0.0259 (Train vs Val)
val,NZ_CP103624.1.cleaned.fna,Mash_dist=0.0176 (Train vs Val)
val,NZ_CP091680.1.cleaned.fna,Mash_dist=0.0015 (Train vs Val)
val,NZ_SZVT01000138.1.cleaned.fna,Mash_dist=0.0313 (Train vs Val)
val,NZ_CP136347.1.cleaned.fna,Mash_dist=0.0368 (Train vs Val)
val,NZ_CP055139.1.cleaned.fna,Mash_dist=0.0226 (Train vs Val)
val,NZ_AF304384.1.cleaned.fna,Mash_dist=0.0467 (Train vs Val)
val,NZ_CP042890.1.cleaned.fna,Mash_dist=0.0249 (Train vs Val)
val,NZ_CP093191.1.cleaned.fna,Mash_dist=0.0381 (Train vs Val)
val,NZ_CP119162.1.cleaned.fna,Mash_dist=0.0429 (Train vs Val)
val,NZ_CP081737.1.cleaned.fna,Mash_dist=0.0017 (Train vs Val)
val,NZ_CP171469.1.cleaned.fna,Mash_dist=0.0054 (Train vs Val)
val,NZ_JACHUV020000032.1.cleaned.fna,Mash_dist=0.0486 (Train vs Val)
val,NZ_AP021957.1.cleaned.fna,Mash_dist=0.0296 (Train vs Val)
val,NZ_CP165746.1.cleaned.fna,Mash_dist=0.0139 (Train vs Val)
val,NZ_SIQC01000003.1.cleaned.fna,Mash_dist=0.0392 (Train vs Val)
val,NZ_CP171563.1.cleaned.fna,Mash_dist=0.0484 (Train vs Val)
val,NZ_CP139468.1.cleaned.fna,Mash_dist=0.0467 (Train vs Val)
val,NZ_CP117653.1.cleaned.fna,Mash_dist=0.0097 (Train vs Val)
val,NZ_CP145705.1.cleaned.fna,Mash_dist=0.0354 (Train vs Val)
val,NZ_JRGI01000010.1.cleaned.fna,Mash_dist=0.0305 (Train vs Val)
val,NZ_LLAA01000023.1.cleaned.fna,Mash_dist=0.0167 (Train vs Val)
val,NZ_CP114706.1.cleaned.fna,Mash_dist=0.0429 (Train vs Val)
val,NZ_JAPHLB020000019.1.cleaned.fna,Mash_dist=0.0001 (Train vs Val)
val,NZ_CP033871.1.cleaned.fna,Mash_dist=0.0298 (Train vs Val)
val,NZ_CP009547.1.cleaned.fna,Mash_dist=0.0452 (Train vs Val)
val,NZ_CP171786.1.cleaned.fna,Mash_dist=0.0201 (Train vs Val)
val,NZ_CP044504.1.cleaned.fna,Mash_dist=0.0052 (Train vs Val)
val,NZ_PV023046.1.cleaned.fna,Mash_dist=0.0420 (Train vs Val)
val,NZ_MH681289.1.cleaned.fna,Mash_dist=0.0164 (Train vs Val)
val,NZ_CP154605.1.cleaned.fna,Mash_dist=0.0261 (Train vs Val)
val,NZ_CP083095.1.cleaned.fna,Mash_dist=0.0053 (Train vs Val)
val,NZ_CP138543.1.cleaned.fna,Mash_dist=0.0318 (Train vs Val)
val,NZ_CP128105.1.cleaned.fna,Mash_dist=0.0417 (Train vs Val)
val,NZ_CP143762.1.cleaned.fna,Mash_dist=0.0008 (Train vs Val)
val,NZ_CP107405.1.cleaned.fna,Mash_dist=0.0228 (Train vs Val)
val,NZ_AP017625.1.cleaned.fna,Mash_dist=0.0228 (Train vs Val)
val,NZ_RRGI01000101.1.cleaned.fna,Mash_dist=0.0035 (Train vs Val)
val,NZ_JANUII010000005.1.cleaned.fna,Mash_dist=0.0040 (Train vs Val)
val,NZ_CP021946.1.cleaned.fna,Mash_dist=0.0430 (Train vs Val)
val,NZ_OZ111528.1.cleaned.fna,Mash_dist=0.0390 (Train vs Val)
val,NZ_CP066141.1.cleaned.fna,Mash_dist=0.0003 (Train vs Val)
val,NZ_HF913787.1.cleaned.fna,Mash_dist=0.0491 (Train vs Val)
val,NZ_MG299140.1.cleaned.fna,Mash_dist=0.0172 (Train vs Val)
val,NZ_CP107310.1.cleaned.fna,Mash_dist=0.0002 (Train vs Val)
val,NZ_CP133225.1.cleaned.fna,Mash_dist=0.0189 (Train vs Val)
val,NZ_MUMV01000095.1.cleaned.fna,Mash_dist=0.0000 (Train vs Val)
val,NZ_CP180202.1.cleaned.fna,Mash_dist=0.0090 (Train vs Val)
val,NZ_CM009236.1.cleaned.fna,Mash_dist=0.0342 (Train vs Val)
val,NZ_OL697394.1.cleaned.fna,Mash_dist=0.0002 (Train vs Val)
val,NZ_LXGZ01000262.1.cleaned.fna,Mash_dist=0.0400 (Train vs Val)
val,NC_019111.1.cleaned.fna,Mash_dist=0.0293 (Train vs Val)
val,NG_048159.1.cleaned.fna,Mash_dist=0.0455 (Train vs Val)
val,NZ_CP194396.1.cleaned.fna,Mash_dist=0.0300 (Train vs Val)
val,NZ_CP073263.1.cleaned.fna,Mash_dist=0.0110 (Train vs Val)
val,NZ_CP039082.1.cleaned.fna,Mash_dist=0.0020 (Train vs Val)
val,NZ_CP146030.1.cleaned.fna,Mash_dist=0.0047 (Train vs Val)
val,NZ_CP043512.1.cleaned.fna,Mash_dist=0.0085 (Train vs Val)
val,NZ_JBDYJB010000020.1.cleaned.fna,Mash_dist=0.0118 (Train vs Val)
val,NZ_CP165901.1.cleaned.fna,Mash_dist=0.0273 (Train vs Val)
val,NZ_QTZR01000043.1.cleaned.fna,Mash_dist=0.0004 (Train vs Val)
val,NZ_CP132658.1.cleaned.fna,Mash_dist=0.0194 (Train vs Val)
val,NZ_CP007599.1.cleaned.fna,Mash_dist=0.0487 (Train vs Val)
val,NZ_CP021690.1.cleaned.fna,Mash_dist=0.0477 (Train vs Val)
val,NZ_CP091583.1.cleaned.fna,Mash_dist=0.0203 (Train vs Val)
val,NZ_CP101597.1.cleaned.fna,Mash_dist=0.0399 (Train vs Val)
val,NZ_CP082082.1.cleaned.fna,Mash_dist=0.0264 (Train vs Val)
val,NZ_CP072469.1.cleaned.fna,Mash_dist=0.0496 (Train vs Val)
val,NZ_CP028853.1.cleaned.fna,Mash_dist=0.0163 (Train vs Val)
val,NZ_LC586958.1.cleaned.fna,Mash_dist=0.0438 (Train vs Val)
val,NZ_RRDJ01000179.1.cleaned.fna,Mash_dist=0.0447 (Train vs Val)
val,NZ_CP127901.1.cleaned.fna,Mash_dist=0.0000 (Train vs Val)
val,NZ_CP066946.1.cleaned.fna,Mash_dist=0.0444 (Train vs Val)
val,NZ_CP024230.1.cleaned.fna,Mash_dist=0.0493 (Train vs Val)
val,NZ_RRNS01000101.1.cleaned.fna,Mash_dist=0.0496 (Train vs Val)
val,NZ_CP131854.1.cleaned.fna,Mash_dist=0.0427 (Train vs Val)
val,NZ_CP143775.1.cleaned.fna,Mash_dist=0.0394 (Train vs Val)
val,NZ_JAUAMR010000007.1.cleaned.fna,Mash_dist=0.0487 (Train vs Val)
val,NZ_KJ922127.1.cleaned.fna,Mash_dist=0.0287 (Train vs Val)
val,NZ_CP170847.1.cleaned.fna,Mash_dist=0.0238 (Train vs Val)
val,NZ_JABULE010000043.1.cleaned.fna,Mash_dist=0.0363 (Train vs Val)
val,NZ_CP128497.1.cleaned.fna,Mash_dist=0.0004 (Train vs Val)
val,NZ_CP142218.1.cleaned.fna,Mash_dist=0.0021 (Train vs Val)
val,NZ_CP066031.1.cleaned.fna,Mash_dist=0.0022 (Train vs Val)
val,NZ_CP020840.1.cleaned.fna,Mash_dist=0.0189 (Train vs Val)
val,NZ_CP091817.1.cleaned.fna,Mash_dist=0.0231 (Train vs Val)
val,NZ_CP146589.1.cleaned.fna,Mash_dist=0.0276 (Train vs Val)
val,NZ_CP062899.1.cleaned.fna,Mash_dist=0.0304 (Train vs Val)
val,NZ_CP109878.1.cleaned.fna,Mash_dist=0.0092 (Train vs Val)
val,NZ_CP066524.1.cleaned.fna,Mash_dist=0.0335 (Train vs Val)
val,NZ_CP097047.1.cleaned.fna,Mash_dist=0.0185 (Train vs Val)
val,NZ_CP084184.1.cleaned.fna,Mash_dist=0.0048 (Train vs Val)
val,NZ_JAHLXX010000050.1.cleaned.fna,Mash_dist=0.0432 (Train vs Val)
val,NZ_CP075001.1.cleaned.fna,Mash_dist=0.0388 (Train vs Val)
val,NZ_CP092514.1.cleaned.fna,Mash_dist=0.0020 (Train vs Val)
val,NZ_CP140500.1.cleaned.fna,Mash_dist=0.0378 (Train vs Val)
val,NZ_CP178249.1.cleaned.fna,Mash_dist=0.0203 (Train vs Val)
val,NZ_KX881941.1.cleaned.fna,Mash_dist=0.0377 (Train vs Val)
